# Topical vocabulary beyond the core frequency list. Same columns as core.tsv, but position
# carries no frequency meaning: these words rank below the core list by construction.
cześć	hi	interj	A1	greetings
dzień dobry	good morning	expr	A1	greetings
dobry wieczór	good evening	expr	A1	greetings
dobranoc	good night	expr	A1	greetings
do widzenia	goodbye	expr	A1	greetings
do zobaczenia	see you	expr	A1	greetings
na razie	for now	expr	A1	greetings
proszę	please	part	A1	greetings,daily-conversation
dziękuję	thank you	expr	A1	greetings
przepraszam	sorry	expr	A1	greetings
nie ma za co	you're welcome	expr	A1	greetings
miło mi	nice to meet you	expr	A1	greetings,introductions
jak się masz	how are you	expr	A1	greetings,daily-conversation
co słychać	what's up	expr	A2	greetings,daily-conversation
powodzenia	good luck	expr	A2	greetings
na zdrowie	cheers	expr	A1	greetings,drinks
smacznego	enjoy your meal	expr	A1	greetings,food
wszystkiego najlepszego	all the best	expr	A2	greetings,dates
witaj	hello	interj	A1	greetings
nazywać się	to be called	v	A1	introductions
imię	name	n	A1	introductions
nazwisko	last name	n	A1	introductions
wiek	age	n	A1	introductions,dates
pochodzić	to come from	v	A2	introductions,countries
mieszkać	to live	v	A1	introductions,home
narodowość	nationality	n	A2	introductions,countries
przedstawiać	to present	v	A2	introductions
skąd	from where	adv	A1	introductions,directions
obcokrajowiec	foreigner	n	B1	introductions,countries
kawaler	single	n	B1	introductions,relationships
żonaty	married	adj	A2	introductions,relationships
zamężna	married (woman)	adj	A2	introductions,relationships
osoba	person	n	A1	people
ludzie	people	n	A1	people
chłopiec	boy	n	A1	people,family
dziewczyna	girl	n	A1	people,relationships
chłopak	boy, boyfriend	n	A1	people,relationships
pan	you	n	A1	people,introductions
pani	madam, Mrs	n	A1	people,introductions
dorosły	adult	n	A2	people
nastolatek	teenager	n	A2	people
niemowlę	baby	n	A2	people,family
starszy	senior	adj	A2	people,appearance
tłum	crowd	n	B1	people,cities
gość	guest	n	A1	people,hotel
mieszkaniec	inhabitant	n	B1	people,cities
sąsiad	neighbor	n	A1	people,relationships
żona	wife	n	A1	family
mąż	husband	n	A1	family
babcia	grandmother	n	A1	family
dziadek	grandpa	n	A1	family
wnuk	grandchild	n	A2	family
wnuczka	granddaughter	n	A2	family
ciocia	aunt	n	A1	family
wujek	uncle	n	A1	family
kuzyn	cousin	n	A2	family
siostrzenica	niece	n	B1	family
bratanek	nephew	n	B1	family
teść	father-in-law	n	B1	family
teściowa	mother-in-law	n	B1	family
rodzice	parents	n	A1	family
rodzeństwo	siblings	n	A2	family
bliźniak	twin	n	B1	family
krewny	relative	n	B1	family
chrzestny	cartilaginous	n	B2	family
miłość	love	n	A1	relationships,emotions
przyjaźń	friendship	n	A2	relationships
związek	relationship	n	A2	relationships
para	couple	n	A1	relationships,numbers
narzeczony	fiancé	n	B1	relationships
ślub	wedding	n	A2	relationships
wesele	wedding reception	n	A2	relationships
rozwód	divorce	n	B1	relationships
randka	date	n	A2	relationships
zaufanie	trust	n	B1	relationships,personality
kłótnia	quarrel	n	B1	relationships
znajomy	acquaintance	n	A2	relationships
kolega	friend (male)	n	A1	relationships
koleżanka	girlfriend	n	A1	relationships
tęsknić	to miss you	v	B1	relationships,emotions
całować	to kiss	v	A2	relationships
przytulać	to hug	v	A2	relationships
obietnica	promise	n	B1	relationships
uprzejmy	polite	adj	A2	personality
grzeczny	well-behaved	adj	A2	personality
nieśmiały	shy	adj	B1	personality
pewny siebie	confident	adj	B1	personality
leniwy	lazy	adj	A2	personality
pracowity	hard-working	adj	A2	personality
mądry	wise	adj	A1	personality
głupi	stupid	adj	A1	personality
uczciwy	honest	adj	B1	personality
cierpliwy	patient	adj	B1	personality
hojny	generous	adj	B2	personality
skąpy	stingy	adj	B2	personality
odważny	bold	adj	A2	personality
tchórzliwy	cowardly	adj	B2	personality
spokojny	calm	adj	A2	personality,emotions
nerwowy	nervous	adj	A2	personality,emotions
towarzyski	social	adj	B1	personality
samolubny	selfish	adj	B1	personality
wierny	loyal	adj	B1	personality
radość	joy	n	A2	emotions
smutek	sadness	n	A2	emotions
strach	fear	n	A2	emotions
złość	anger	n	A2	emotions
nadzieja	hope	n	A2	emotions
zazdrość	jealousy	n	B1	emotions
duma	pride	n	B1	emotions
wstyd	shame	n	B1	emotions
zaskoczenie	surprise	n	B1	emotions
ulga	relief	n	B1	emotions
spokój	composure	n	A2	emotions
stres	stress	n	A2	emotions,health
nastrój	mood	n	B1	emotions
uczucie	feeling	n	A2	emotions
zdenerwowany	upset	adj	B1	emotions
podekscytowany	excited	adj	B1	emotions
rozczarowany	disappointed	adj	B1	emotions
wdzięczny	grateful	adj	B1	emotions
szczupły	slim	adj	A2	appearance
łysy	bald	adj	B1	appearance
broda	beard	n	A2	appearance,body
wąsy	moustache	n	B1	appearance
okulary	glasses	n	A1	appearance,clothing
blondynka	blonde	n	A2	appearance
brunetka	brunette	n	B1	appearance
kręcony	curly	adj	B1	appearance
prosty	simple	adj	A1	appearance,shapes
wzrost	growth	n	A2	appearance
waga	libra	n	A2	appearance,health
przystojny	handsome	adj	A2	appearance
elegancki	elegant	adj	A2	appearance,clothing
tatuaż	tattoo	n	B1	appearance
piegi	freckles	n	B2	appearance
blizna	scar	n	B2	appearance,health
